Data;Último
29/03/2021;115419
26/03/2021;114781
25/03/2021;113750
24/03/2021;112064
23/03/2021;113262
22/03/2021;114979
19/03/2021;116222
18/03/2021;114835
17/03/2021;116549
16/03/2021;114019
15/03/2021;114851
12/03/2021;114160
11/03/2021;114984
10/03/2021;112776
09/03/2021;111331
08/03/2021;110612
05/03/2021;115202
04/03/2021;112690
03/03/2021;111184
02/03/2021;111540
01/03/2021;110335
26/02/2021;110035
25/02/2021;112256
24/02/2021;115668
23/02/2021;115227
22/02/2021;112668
19/02/2021;118748
18/02/2021;119140
17/02/2021;120391
12/02/2021;119116
11/02/2021;119235
10/02/2021;118430
09/02/2021;119429
08/02/2021;119516
05/02/2021;119925
04/02/2021;119261
03/02/2021;119725
02/02/2021;118234
01/02/2021;117365
29/01/2021;116007
28/01/2021;119314
27/01/2021;115882
26/01/2021;116464
22/01/2021;117172
21/01/2021;118443
20/01/2021;119708
19/01/2021;120673
18/01/2021;121242
15/01/2021;120502
14/01/2021;123481
13/01/2021;122040
12/01/2021;123998
11/01/2021;122807
08/01/2021;125077
07/01/2021;121956
06/01/2021;119851
05/01/2021;119223
04/01/2021;118558
30/12/2020;119306
29/12/2020;119475
28/12/2020;119051
23/12/2020;117857
22/12/2020;116348
21/12/2020;116016
18/12/2020;117679
17/12/2020;118157
16/12/2020;117947
15/12/2020;116146
14/12/2020;114975
11/12/2020;115323
10/12/2020;114992
09/12/2020;112722
08/12/2020;113571
07/12/2020;113625
04/12/2020;113682
03/12/2020;112919
02/12/2020;111814
01/12/2020;111335
30/11/2020;108888
27/11/2020;110575
26/11/2020;110227
25/11/2020;110133
24/11/2020;109786
23/11/2020;107379
19/11/2020;106517
18/11/2020;106483
17/11/2020;107229
16/11/2020;106430
13/11/2020;104512
12/11/2020;102175
11/11/2020;104532
10/11/2020;105351
09/11/2020;103913
06/11/2020;100799
05/11/2020;100774
04/11/2020;97811
03/11/2020;95587
30/10/2020;93952
29/10/2020;96582
28/10/2020;95369
27/10/2020;99606
26/10/2020;101017
23/10/2020;101260
22/10/2020;101918
21/10/2020;100552
20/10/2020;100540
19/10/2020;98658
16/10/2020;98309
15/10/2020;99054
14/10/2020;99334
13/10/2020;98503
09/10/2020;97483
08/10/2020;97920
07/10/2020;95526
06/10/2020;95615
05/10/2020;96089
02/10/2020;94016
01/10/2020;95479
30/09/2020;94603
29/09/2020;93580
28/09/2020;94666
25/09/2020;96999
24/09/2020;97012
23/09/2020;95735
22/09/2020;97294
21/09/2020;96991
18/09/2020;98290
17/09/2020;100098
16/09/2020;99676
15/09/2020;100298
14/09/2020;100275
11/09/2020;98363
10/09/2020;98835
09/09/2020;101292
08/09/2020;100050
04/09/2020;101242
03/09/2020;100721
02/09/2020;101911
01/09/2020;102168
31/08/2020;99369
28/08/2020;102143
27/08/2020;100624
26/08/2020;100627
25/08/2020;102118
24/08/2020;102298
21/08/2020;101521
20/08/2020;101468
19/08/2020;100854
18/08/2020;102065
17/08/2020;99595
14/08/2020;101353
13/08/2020;100461
12/08/2020;102118
11/08/2020;102174
10/08/2020;103444
07/08/2020;102776
06/08/2020;104126
05/08/2020;102802
04/08/2020;101216
03/08/2020;102830
31/07/2020;102912
30/07/2020;105009
29/07/2020;105605
28/07/2020;104109
27/07/2020;104477
24/07/2020;102382
23/07/2020;102293
22/07/2020;104290
21/07/2020;104310
20/07/2020;104426
17/07/2020;102888
16/07/2020;100553
15/07/2020;101791
14/07/2020;100440
13/07/2020;98697
10/07/2020;100032
09/07/2020;99160
08/07/2020;99770
07/07/2020;97761
06/07/2020;98937
03/07/2020;96765
02/07/2020;96235
01/07/2020;96203
30/06/2020;95056
29/06/2020;95735
26/06/2020;93834
25/06/2020;95983
24/06/2020;94377
23/06/2020;95975
22/06/2020;95336
19/06/2020;96572
18/06/2020;96125
17/06/2020;95547
16/06/2020;93531
15/06/2020;92376
12/06/2020;92795
10/06/2020;94686
09/06/2020;96747
08/06/2020;97645
05/06/2020;94637
04/06/2020;93829
03/06/2020;93002
02/06/2020;91046
01/06/2020;88620
29/05/2020;87403
28/05/2020;86949
27/05/2020;87946
26/05/2020;85469
25/05/2020;85663
22/05/2020;82173
21/05/2020;83027
20/05/2020;81319
19/05/2020;80742
18/05/2020;81194
15/05/2020;77557
14/05/2020;79011
13/05/2020;77772
12/05/2020;77872
11/05/2020;79065
08/05/2020;80263
07/05/2020;78119
06/05/2020;79064
05/05/2020;79471
04/05/2020;78876
30/04/2020;80506
29/04/2020;83171
28/04/2020;81312
27/04/2020;78239
24/04/2020;75331
23/04/2020;79673
22/04/2020;80687
20/04/2020;78973
17/04/2020;78990
16/04/2020;77812
15/04/2020;78831
14/04/2020;79918
13/04/2020;78836
09/04/2020;77682
08/04/2020;78625
07/04/2020;76358
06/04/2020;74073
03/04/2020;69538
02/04/2020;72253
01/04/2020;70967
31/03/2020;73020
30/03/2020;74640
27/03/2020;73429
26/03/2020;77710
25/03/2020;74956
24/03/2020;69729
23/03/2020;63570
20/03/2020;67069
19/03/2020;68332
18/03/2020;66895
17/03/2020;74617
16/03/2020;71168
13/03/2020;82678
12/03/2020;72583
11/03/2020;85171
10/03/2020;92214
09/03/2020;86067
06/03/2020;97997
05/03/2020;102233
04/03/2020;107224
03/03/2020;105537
02/03/2020;106625
28/02/2020;104172
27/02/2020;102984
26/02/2020;105718
21/02/2020;113681
20/02/2020;114586
19/02/2020;116518
18/02/2020;114977
17/02/2020;115309
14/02/2020;114381
13/02/2020;115662
12/02/2020;116674
11/02/2020;115371
10/02/2020;112570
07/02/2020;113770
06/02/2020;115190
05/02/2020;116028
04/02/2020;115557
